Caf,h,Qf,Ca,T,Tf,Tc,Qc,Tcf,Q,Timestamp,label
1,5.999949750430105,100,0.05338227923161088,395.49738944196787,320,336.9197601598619,19,300,100.00000000007721,1,0
1,5.999949750426458,100,0.05339286253686568,395.4936009978489,320,336.9207251848332,19,300,100.00000000004682,2,0
1,5.999949750424246,100,0.05338154800001953,395.49226772245504,320,336.9232062480377,19,300,100.00000000002838,3,0
1,5.999949750422906,100,0.05338011957954975,395.49632525376626,320,336.9207630899437,19,300,100.00000000001721,4,0
1,5.999949750422092,100,0.053383727779161755,395.49746788648036,320,336.9195073765597,19,300,100.00000000001043,5,0
1,5.9999497504215995,100,0.0533933507793241,395.49336193694324,320,336.920809191987,19,300,100.00000000000634,6,0
1,5.9999497504213,100,0.05337329215438147,395.4942643839942,320,336.92307546446017,19,300,100.00000000000384,7,0
1,5.999949750421119,100,0.053382675491080535,395.49579721094335,320,336.9207441762645,19,300,100.00000000000233,8,0
1,5.999949750421009,100,0.053390748464045394,395.4945774348402,320,336.92039333795793,19,300,100.0000000000014,9,0
1,5.999949750420942,100,0.053411534867287384,395.48532446998956,320,336.9234732503446,19,300,100.00000000000087,10,0
1,5.999949750420901,100,0.05337665204908493,395.49688850863083,320,336.92087617865354,19,300,100.00000000000051,11,0
1,5.9999497504208765,100,0.05337521783416707,395.50152039879504,320,336.91807844375523,19,300,100.00000000000031,12,0
1,5.999949750420861,100,0.05339495286360554,395.49305171752223,320,336.9207664373815,19,300,100.00000000000018,13,0
1,5.9999497504208525,100,0.053375869632969405,395.4927659666267,320,336.9236849743088,19,300,100.00000000000011,14,0
1,5.999949750420847,100,0.053382799315590854,395.4957487865251,320,336.920757519725,19,300,100.00000000000006,15,0
1,5.9999497504208446,100,0.05338765130610989,395.49532691191735,320,336.92034480138926,19,300,100.00000000000004,16,0
1,5.999949750420843,100,0.05341640730604587,395.4853834636953,320,336.9227391556084,19,300,100.00000000000003,17,0
1,5.999949750420841,100,0.05337721553587397,395.49638565591965,320,336.9211311764854,19,300,100.00000000000001,18,0
1,5.99994975042084,100,0.05335437343739838,395.50684543810434,320,336.9175778866123,19,300,100.00000000000001,19,0
1,5.99994975042084,100,0.053389739475431304,395.4946157422699,320,336.92049934010566,19,300,100.00000000000001,20,0
1,5.99994975042084,100,0.053384439398369204,395.4954301801847,320,336.9207323063334,19,300,100.00000000000001,21,0
1,5.99994975042084,100,0.053383664847554746,395.4977394867487,320,336.91933946348496,19,300,100.00000000000001,22,0
1,5.99994975042084,100,0.053387793229698464,395.4947732768858,320,336.92068464926416,19,300,100.00000000000001,23,0
1,5.99994975042084,100,0.05338612688967142,395.4935062434954,320,336.9217484653767,19,300,100.00000000000001,24,0
1,5.99994975042084,100,0.053375830420988216,395.4973604024327,320,336.9206978983849,19,300,100.00000000000001,25,0
1,5.99994975042084,100,0.05339169487159332,395.4973365225677,320,336.91845790208976,19,300,100.00000000000001,26,0
1,5.99994975042084,100,0.05338726186172896,395.4948651730382,320,336.9206993781702,19,300,100.00000000000001,27,0
1,5.999949750420839,100,0.05338441146071374,395.4942673844338,320,336.9214959484032,19,300,99.99999999999999,28,0
1,5.999949750420839,100,0.05337462198937693,395.497736998895,320,336.92062581787945,19,300,99.99999999999999,29,0
1,5.999949750420839,100,0.05339870771127134,395.496054709069,320,336.9182940396588,19,300,99.99999999999999,30,0
1,5.999949750420839,100,0.05338724540176434,395.4948446936479,320,336.92071475186225,19,300,99.99999999999999,31,0
1,5.99994975042084,100,0.053381974902848996,395.4949969394874,320,336.92136695729516,19,300,100.00000000000001,32,0
1,5.99994975042084,100,0.05333010604583051,395.5112246492773,320,336.91817363411434,19,300,100.00000000000001,33,0
1,5.99994975042084,100,0.05338628978410554,395.49599757218186,320,336.9200927273135,19,300,100.00000000000001,34,0
1,5.99994975042084,100,0.0534388968663029,395.479980273106,320,336.9230610549438,19,300,100.00000000000001,35,0
1,5.99994975042084,100,0.053373973821630186,395.49544755969725,320,336.9221876474092,19,300,100.00000000000001,36,0
1,5.99994975042084,100,0.05337701893246799,395.4972426208409,320,336.9206042029485,19,300,100.00000000000001,37,0
1,5.99994975042084,100,0.053397804390916286,395.4948617768493,320,336.91919795378055,19,300,100.00000000000001,38,0
1,5.99994975042084,100,0.0533849708511337,395.4953399321421,320,336.9207163830408,19,300,100.00000000000001,39,0
1,5.99994975042084,100,0.05334797451629526,395.5039590542846,320,336.9203633968392,19,300,100.00000000000001,40,0
1,5.99994975042084,100,0.053384212055520006,395.49556721852514,320,336.92067768260523,19,300,100.00000000000001,41,9
1,5.99994975042084,100,0.053386400759570324,395.4941331442035,320,336.92130060733905,19,300,100.00000000000001,42,9
1,5.99994975042084,100,0.05333558386341488,395.5077255714375,320,336.91966828217,19,300,100.00000000000001,43,9
1,5.99994975042084,100,0.05338308738869911,395.4959707847024,320,336.92057374874395,19,300,100.00000000000001,44,9
